year,age,partylr,krbornin,krcit,krlived,krkorean,krconfuc,krfeel,krancstr,immcrime,immjobs,immideas,LETIN1,rank,age_x,rank_x,partylr_x,letin1_x,immcrime_x,immjobs_x,immideas_x,krbornin_x,krcit_x,krlived_x,krkorean_x,krconfuc_x,krfeel_x,krancstr_x
2003,52,1,1,1,1,1,4,1,1,2,2,4,2,1,40~59,lower,conservative,increased,agree,agree,disagree,1,1,1,1,0,1,1
2003,25,4,2,2,2,1,3,2,3,4,5,3,3,5,19~39,middle,liberal,remained,disagree,strongly disagree,neutral,1,1,1,1,0,1,0
2003,20,3,1,1,2,1,3,1,1,3,3,3,3,3,19~39,lower,middle,remained,neutral,neutral,neutral,1,1,1,1,0,1,1
2003,21,3,2,2,2,2,4,2,2,4,3,3,3,3,19~39,lower,middle,remained,disagree,neutral,neutral,1,1,1,1,0,1,1
2003,21,4,2,2,3,1,4,1,1,3,4,3,2,4,19~39,lower,liberal,increased,neutral,disagree,neutral,1,1,0,1,0,1,1
2003,55,4,3,3,3,2,2,1,1,3,4,3,,4,40~59,lower,liberal,,neutral,disagree,neutral,0,0,0,1,1,1,1
2003,68,3,2,2,2,2,3,2,2,,4,2,4,4,60~,lower,middle,reduced,,disagree,agree,1,1,1,1,0,1,1
2003,22,2,2,2,1,1,3,3,3,3,2,3,3,6,19~39,middle,conservative,remained,neutral,agree,neutral,1,1,1,1,0,0,0
2003,34,4,2,2,2,2,3,2,2,3,2,2,2,4,19~39,lower,liberal,increased,neutral,agree,agree,1,1,1,1,0,1,1
2003,40,2,2,2,3,2,2,2,2,4,4,3,2,4,19~39,lower,conservative,increased,disagree,disagree,neutral,1,1,0,1,1,1,1
2003,56,4,1,1,1,1,1,1,1,5,4,2,4,5,40~59,middle,liberal,reduced,strongly disagree,disagree,agree,1,1,1,1,1,1,1
2003,80,3,1,1,1,1,2,1,1,1,1,5,5,3,60~,lower,middle,reduced,strongly agree,strongly agree,strongly disagree,1,1,1,1,1,1,1
2003,31,1,1,1,1,1,2,1,1,2,5,2,3,5,19~39,middle,conservative,remained,agree,strongly disagree,agree,1,1,1,1,1,1,1
2003,24,2,3,2,3,1,2,1,3,3,4,3,4,6,19~39,middle,conservative,reduced,neutral,disagree,neutral,0,1,0,1,1,1,0
2003,31,1,2,1,3,2,3,1,2,4,4,2,2,4,19~39,lower,conservative,increased,disagree,disagree,agree,1,1,0,1,0,1,1
2003,37,4,2,2,3,1,4,1,1,4,2,3,5,2,19~39,lower,liberal,reduced,disagree,agree,neutral,1,1,0,1,0,1,1
2003,25,3,2,2,2,2,3,2,3,4,4,4,4,4,19~39,lower,middle,reduced,disagree,disagree,disagree,1,1,1,1,0,1,0
2003,31,2,2,2,2,2,3,2,2,4,4,4,4,5,19~39,middle,conservative,reduced,disagree,disagree,disagree,1,1,1,1,0,1,1
2003,37,2,2,2,3,2,3,2,2,4,3,2,3,4,19~39,lower,conservative,remained,disagree,neutral,agree,1,1,0,1,0,1,1
2003,44,3,2,2,3,2,3,2,3,3,3,3,,3,40~59,lower,middle,,neutral,neutral,neutral,1,1,0,1,0,1,0
2003,42,2,2,1,3,1,3,1,1,,3,4,4,6,40~59,middle,conservative,reduced,,neutral,disagree,1,1,0,1,0,1,1
2003,32,3,3,2,3,3,2,2,2,3,3,3,3,4,19~39,lower,middle,remained,neutral,neutral,neutral,0,1,0,0,1,1,1
2003,81,,1,,1,1,1,1,1,3,2,4,4,2,60~,lower,,reduced,neutral,agree,disagree,1,0,1,1,1,1,1
2003,48,2,2,1,2,1,3,1,2,2,3,4,3,4,40~59,lower,conservative,remained,agree,neutral,disagree,1,1,1,1,0,1,1
2003,43,4,2,2,2,1,4,1,3,2,3,3,5,4,40~59,lower,liberal,reduced,agree,neutral,neutral,1,1,1,1,0,1,0
2003,27,4,3,3,4,2,3,2,2,2,3,3,2,5,19~39,middle,liberal,increased,agree,neutral,neutral,0,0,0,1,0,1,1
2003,20,2,1,1,1,1,2,1,1,2,2,1,2,3,19~39,lower,conservative,increased,agree,agree,strongly agree,1,1,1,1,1,1,1
2003,44,2,1,1,1,1,1,1,1,2,4,3,3,1,40~59,lower,conservative,remained,agree,disagree,neutral,1,1,1,1,1,1,1
2003,70,4,1,1,1,1,3,1,1,2,4,2,4,1,60~,lower,liberal,reduced,agree,disagree,agree,1,1,1,1,0,1,1
2003,40,3,1,1,1,1,2,1,1,2,3,3,3,1,19~39,lower,middle,remained,agree,neutral,neutral,1,1,1,1,1,1,1
2003,71,3,1,1,1,1,1,1,1,4,5,1,3,1,60~,lower,middle,remained,disagree,strongly disagree,strongly agree,1,1,1,1,1,1,1
2003,41,4,2,1,1,1,3,1,1,2,4,2,1,5,40~59,middle,liberal,increased,agree,disagree,agree,1,1,1,1,0,1,1
2003,43,3,2,1,3,2,2,1,3,2,2,3,4,2,40~59,lower,middle,reduced,agree,agree,neutral,1,1,0,1,1,1,0
2003,64,4,1,1,1,1,2,1,2,2,4,4,,5,60~,middle,liberal,,agree,disagree,disagree,1,1,1,1,1,1,1
2003,53,4,1,1,3,2,3,2,2,2,4,2,2,5,40~59,middle,liberal,increased,agree,disagree,agree,1,1,0,1,0,1,1
2003,33,,2,1,1,1,1,1,1,1,2,2,4,3,19~39,lower,,reduced,strongly agree,agree,agree,1,1,1,1,1,1,1
2003,50,4,1,2,2,3,3,3,2,4,3,4,2,4,40~59,lower,liberal,increased,disagree,neutral,disagree,1,1,1,0,0,0,1
2003,32,4,2,2,3,1,3,1,2,4,4,3,,2,19~39,lower,liberal,,disagree,disagree,neutral,1,1,0,1,0,1,1
2003,41,4,1,2,2,2,3,2,2,4,4,3,4,5,40~59,middle,liberal,reduced,disagree,disagree,neutral,1,1,1,1,0,1,1
2003,43,4,1,1,1,1,2,1,1,1,1,4,5,6,40~59,middle,liberal,reduced,strongly agree,strongly agree,disagree,1,1,1,1,1,1,1
2003,55,4,1,1,1,1,1,1,1,4,4,1,2,1,40~59,lower,liberal,increased,disagree,disagree,strongly agree,1,1,1,1,1,1,1
